"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM1065712" "HSF2" "BLOOD" "K-562" "180" "PRJNA186755_GSM1065712_HSF2_peaks.narrowPeak" "Myeloid"
"GSM1065714" "HSF1" "BLOOD" "K-562" "179" "PRJNA186755_GSM1065714_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1065715" "HSF2" "BLOOD" "K-562" "180" "PRJNA186755_GSM1065715_HSF2_peaks.narrowPeak" "Myeloid"
"GSM1065718" "HSF1" "BLOOD" "K562" "132" "PRJNA186755_GSM1065718_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1065719" "HSF2" "BLOOD" "K562" "181" "PRJNA186755_GSM1065719_HSF2_peaks.narrowPeak" "Myeloid"
"GSM1065721" "HSF1" "BLOOD" "K-562" "179" "PRJNA186755_GSM1065721_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1065722" "HSF2" "BLOOD" "K-562" "180" "PRJNA186755_GSM1065722_HSF2_peaks.narrowPeak" "Myeloid"
"GSM1067274" "GATA1" "BLOOD" "Erythroid Cells" "182" "PRJNA186857_GSM1067274_GATA1_peaks.narrowPeak" "Erythroid"
"GSM1067275" "KLF1" "BLOOD" "Erythroid Cells" "183" "PRJNA186857_GSM1067275_KLF1_peaks.narrowPeak" "Erythroid"
"GSM1067276" "NFE2" "BLOOD" "Erythroid Cells" "184" "PRJNA186857_GSM1067276_NFE2_peaks.narrowPeak" "Erythroid"
"GSM1070125" "CTCF" "BLOOD" "MM.1S" "185" "PRJNA187203_GSM1070125_CTCF_peaks.narrowPeak" "Multiple Myeloma"
"GSM1187229" "ASCL1" "FIBROBLAST" "Dermal fibroblast" "186" "PRJNA188177_GSM1187229_ASCL1_peaks.narrowPeak" "Fibroblast"
"GSM1187231" "ASCL1" "SKIN" "Keratinocytes" "187" "PRJNA188177_GSM1187231_ASCL1_peaks.narrowPeak" "Keratinocyte"
"GSM1076109" "ESR1" "PROSTATE" "VCaP" "188" "PRJNA188302_GSM1076109_ESR1_peaks.narrowPeak" "Prostate"
"GSM1076110" "ESR1" "PROSTATE" "VCaP" "188" "PRJNA188302_GSM1076110_ESR1_peaks.narrowPeak" "Prostate"
"GSM1076111" "ESR1" "PROSTATE" "VCaP" "188" "PRJNA188302_GSM1076111_ESR1_peaks.narrowPeak" "Prostate"
"GSM1076112" "ESR1" "PROSTATE" "NCI-H660" "189" "PRJNA188302_GSM1076112_ESR1_peaks.narrowPeak" "Prostate"
"GSM1084783" "TEAD4" "GI" "MKN-28" "190" "PRJNA189846_GSM1084783_TEAD4_peaks.narrowPeak" "Stomach"
"GSM1084785" "TEAD4" "GI" "SNU-216" "191" "PRJNA189846_GSM1084785_TEAD4_peaks.narrowPeak" "Stomach"
"GSM1084800" "BACH2" "BLOOD" "OCI-LY-7" "192" "PRJNA189941_GSM1084800_BACH2_peaks.narrowPeak" "B cell"
"GSM1084801" "BCL6" "BLOOD" "OCI-LY-7" "193" "PRJNA189941_GSM1084801_BCL6_peaks.narrowPeak" "B cell"
"GSM1086293" "PAX5" "BLOOD" "RAJI" "194" "PRJNA190710_GSM1086293_PAX5_peaks.narrowPeak" "B cell"
"GSM1086294" "PAX5" "BLOOD" "RAJI" "194" "PRJNA190710_GSM1086294_PAX5_peaks.narrowPeak" "B cell"
"GSM1086295" "PAX5" "BLOOD" "NAMALWA" "195" "PRJNA190710_GSM1086295_PAX5_peaks.narrowPeak" "B cell"
"GSM1086296" "PAX5" "BLOOD" "NAMALWA" "195" "PRJNA190710_GSM1086296_PAX5_peaks.narrowPeak" "B cell"
"GSM1086297" "PAX5" "BLOOD" "L-428" "196" "PRJNA190710_GSM1086297_PAX5_peaks.narrowPeak" "Lung"
"GSM1086298" "PAX5" "BLOOD" "L-428" "196" "PRJNA190710_GSM1086298_PAX5_peaks.narrowPeak" "Lung"
"GSM1088663" "MYC" "UTERUS" "HeLa" "197" "PRJNA190879_GSM1088663_MYC_peaks.narrowPeak" "Cervix"
"GSM1231597" "MYC" "SARCOMA" "U2OS" "198" "PRJNA190879_GSM1231597_MYC_peaks.narrowPeak" "Bone"
"GSM1231598" "MYC" "SARCOMA" "U2OS" "198" "PRJNA190879_GSM1231598_MYC_peaks.narrowPeak" "Bone"
"GSM1097879" "ERG" "BLOOD" "CD34+" "199" "PRJNA193088_GSM1097879_ERG_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM1097880" "FLI1" "BLOOD" "CD34+" "27" "PRJNA193088_GSM1097880_FLI1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM1097883" "GATA2" "BLOOD" "CD34+" "25" "PRJNA193088_GSM1097883_GATA2_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM1097884" "RUNX1" "BLOOD" "CD34+" "26" "PRJNA193088_GSM1097884_RUNX1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM1099029" "MYC" "BREAST" "MDA-MB-453" "200" "PRJNA193202_GSM1099029_MYC_peaks.narrowPeak" "Breast"
"GSM1099031" "FOXA1" "BREAST" "MDA-MB-453" "201" "PRJNA193202_GSM1099031_FOXA1_peaks.narrowPeak" "Breast"
"GSM1103555" "ZFX" "NEURAL" "Daoy" "202" "PRJNA194396_GSM1103555_ZFX_peaks.narrowPeak" "Brain"
"GSM1113427" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113427_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1113428" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113428_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1113431" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113431_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1113432" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113432_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1113433" "TFAP4" "BLOOD" "Kasumi-1" "203" "PRJNA196162_GSM1113433_TFAP4_peaks.narrowPeak" "Myeloid"
"GSM1113434" "TFAP4" "BLOOD" "Kasumi-1" "203" "PRJNA196162_GSM1113434_TFAP4_peaks.narrowPeak" "Myeloid"
"GSM1113437" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113437_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1113438" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA196162_GSM1113438_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM1116653" "HSF1" "BREAST" "MCF-7" "142" "PRJNA196591_GSM1116653_HSF1_peaks.narrowPeak" "Breast"
"GSM1116654" "HSF1" "BREAST" "MCF-7" "142" "PRJNA196591_GSM1116654_HSF1_peaks.narrowPeak" "Breast"
"GSM1116658" "HSF1" "BREAST" "MCF-7" "142" "PRJNA196591_GSM1116658_HSF1_peaks.narrowPeak" "Breast"
"GSM1116659" "HSF1" "BREAST" "MCF-7" "142" "PRJNA196591_GSM1116659_HSF1_peaks.narrowPeak" "Breast"
"GSM1116663" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116663_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116665" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116665_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116666" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116666_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116668" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116668_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116669" "HSF1" "BLOOD" "M0-91" "132" "PRJNA196591_GSM1116669_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116671" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116671_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1116672" "HSF1" "BLOOD" "M0-91" "204" "PRJNA196591_GSM1116672_HSF1_peaks.narrowPeak" "Myeloid"
"GSM1122667" "CTCF" "BREAST" "SUM 159PT" "205" "PRJNA197196_GSM1122667_CTCF_peaks.narrowPeak" "Breast"
"GSM1125261" "FOSL1" "BREAST" "BT-549" "206" "PRJNA197435_GSM1125261_FOSL1_peaks.narrowPeak" "Breast"
"GSM1125262" "JUN" "BREAST" "BT-549" "207" "PRJNA197435_GSM1125262_JUN_peaks.narrowPeak" "Breast"
"GSM1125982" "GRHL2" "LUNG" "Tracheal epithelial cells" "208" "PRJNA198009_GSM1125982_GRHL2_peaks.narrowPeak" "Tracheal epithelial"
"GSM1125983" "GRHL2" "LUNG" "Tracheal epithelial cells" "208" "PRJNA198009_GSM1125983_GRHL2_peaks.narrowPeak" "Tracheal epithelial"
"GSM1125984" "GRHL2" "LUNG" "Tracheal epithelial cells" "208" "PRJNA198009_GSM1125984_GRHL2_peaks.narrowPeak" "Tracheal epithelial"
"GSM1126875" "NR2C2" "FIBROBLAST" "WI-38" "209" "PRJNA198233_GSM1126875_NR2C2_peaks.narrowPeak" "Lung"
"GSM1126879" "NR2C2" "UTERUS" "HeLa" "210" "PRJNA198233_GSM1126879_NR2C2_peaks.narrowPeak" "Cervix"
"GSM1133656" "E2F1" "BLOOD" "OCI-LY1" "211" "PRJNA201426_GSM1133656_E2F1_peaks.narrowPeak" "B cell"
"GSM1133657" "BCL6" "BLOOD" "OCI-LY1" "49" "PRJNA201426_GSM1133657_BCL6_peaks.narrowPeak" "B cell"
"GSM1139032" "SOX2" "GI" "KYSE-70" "212" "PRJNA202445_GSM1139032_SOX2_peaks.narrowPeak" "Esophagus"
"GSM1139035" "SOX2" "GI" "T.T" "213" "PRJNA202445_GSM1139035_SOX2_peaks.narrowPeak" "Thyroid"
"GSM1139038" "SOX2" "LUNG" "HCC95" "214" "PRJNA202445_GSM1139038_SOX2_peaks.narrowPeak" "Lung"
"GSM1139041" "SOX2" "STEMCELL" "hESC H9" "215" "PRJNA202445_GSM1139041_SOX2_peaks.narrowPeak" "Stem cell"
"GSM1145322" "ETV1" "PROSTATE" "LNCAP" "216" "PRJNA203679_GSM1145322_ETV1_peaks.narrowPeak" "Prostate"
"GSM1146443" "SPI1" "BLOOD" "Macrophages" "89" "PRJNA205048_GSM1146443_SPI1_peaks.narrowPeak" "Macrophage"
"GSM1146444" "SPI1" "BLOOD" "Macrophages" "89" "PRJNA205048_GSM1146444_SPI1_peaks.narrowPeak" "Macrophage"
"GSM1151694" "GATA6" "PANCREAS" "PA-TU-8988S" "217" "PRJNA205985_GSM1151694_GATA6_peaks.narrowPeak" "Pancreas"
"GSM1164144" "FOXA1" "PROSTATE" "DU 145" "218" "PRJNA208545_GSM1164144_FOXA1_peaks.narrowPeak" "Prostate"
"GSM1164145" "FOXA1" "PROSTATE" "DU 145" "218" "PRJNA208545_GSM1164145_FOXA1_peaks.narrowPeak" "Prostate"
"GSM1164146" "FOXA1" "PROSTATE" "DU 145" "218" "PRJNA208545_GSM1164146_FOXA1_peaks.narrowPeak" "Prostate"
"GSM1164147" "FOXA1" "PROSTATE" "DU 145" "218" "PRJNA208545_GSM1164147_FOXA1_peaks.narrowPeak" "Prostate"
"GSM1164148" "FOXA1" "PROSTATE" "DU 145" "218" "PRJNA208545_GSM1164148_FOXA1_peaks.narrowPeak" "Prostate"
"GSM1168432" "ESR2" "BREAST" "MCF-7" "219" "PRJNA209061_GSM1168432_ESR2_peaks.narrowPeak" "Breast"
"GSM1168433" "ESR2" "BREAST" "MCF-7" "219" "PRJNA209061_GSM1168433_ESR2_peaks.narrowPeak" "Breast"
"GSM1192174" "REST" "ADRENAL" "NCI-H295R" "220" "PRJNA212690_GSM1192174_REST_peaks.narrowPeak" "Adrenal"
"GSM1192175" "REST" "ADRENAL" "NCI-H295R" "220" "PRJNA212690_GSM1192175_REST_peaks.narrowPeak" "Adrenal"
"GSM1193656" "ERG" "PROSTATE" "VCaP" "68" "PRJNA213143_GSM1193656_ERG_peaks.narrowPeak" "Prostate"
"GSM1193657" "ERG" "PROSTATE" "VCaP" "68" "PRJNA213143_GSM1193657_ERG_peaks.narrowPeak" "Prostate"
"GSM1193658" "ERG" "PROSTATE" "VCaP" "68" "PRJNA213143_GSM1193658_ERG_peaks.narrowPeak" "Prostate"
"GSM1193659" "GABPA" "PROSTATE" "VCaP" "221" "PRJNA213143_GSM1193659_GABPA_peaks.narrowPeak" "Prostate"
"GSM1193660" "GABPA" "PROSTATE" "VCaP" "221" "PRJNA213143_GSM1193660_GABPA_peaks.narrowPeak" "Prostate"
"GSM1193661" "GABPA" "PROSTATE" "VCaP" "221" "PRJNA213143_GSM1193661_GABPA_peaks.narrowPeak" "Prostate"
"GSM1193662" "GABPA" "BLOOD" "Jurkat" "222" "PRJNA213143_GSM1193662_GABPA_peaks.narrowPeak" "T cell"
"GSM1193663" "GABPA" "BLOOD" "Jurkat" "222" "PRJNA213143_GSM1193663_GABPA_peaks.narrowPeak" "T cell"
"GSM1193664" "ERG" "BLOOD" "Jurkat" "223" "PRJNA213143_GSM1193664_ERG_peaks.narrowPeak" "T cell"
"GSM1193665" "ERG" "BLOOD" "Jurkat" "223" "PRJNA213143_GSM1193665_ERG_peaks.narrowPeak" "T cell"
"GSM1197320" "GATA6" "GI" "LS-174T" "224" "PRJNA213625_GSM1197320_GATA6_peaks.narrowPeak" "Colon"
"GSM1197321" "GATA6" "GI" "LS-174T" "224" "PRJNA213625_GSM1197321_GATA6_peaks.narrowPeak" "Colon"
"GSM1197322" "GATA6" "GI" "LS-174T" "224" "PRJNA213625_GSM1197322_GATA6_peaks.narrowPeak" "Colon"
"GSM1198993" "SOX2" "NEURAL" "ReN-VM" "225" "PRJNA213908_GSM1198993_SOX2_peaks.narrowPeak" "Brain"
"GSM1198994" "SOX2" "NEURAL" "ReN-VM" "225" "PRJNA213908_GSM1198994_SOX2_peaks.narrowPeak" "Brain"
"GSM1201946" "REST" "BLOOD" "CD4-Positive T-Lymphocytes" "226" "PRJNA214317_GSM1201946_REST_peaks.narrowPeak" "CD4 T cell"
"GSM1207889" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207889_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207890" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207890_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207893" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207893_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207894" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207894_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207897" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207897_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207898" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207898_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207901" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207901_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207902" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207902_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207905" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207905_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207906" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207906_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207909" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207909_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207910" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207910_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207913" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207913_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207914" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207914_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207916" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207916_E2F1_peaks.narrowPeak" "Prostate"
"GSM1207917" "E2F1" "PROSTATE" "Unclassified" "227" "PRJNA215063_GSM1207917_E2F1_peaks.narrowPeak" "Prostate"
"GSM1218849" "MYOD1" "MUSCLE" "Myoblasts" "228" "PRJNA217446_GSM1218849_MYOD1_peaks.narrowPeak" "Myoblast"
"GSM1218850" "MYOD1" "MUSCLE" "Myotube" "229" "PRJNA217446_GSM1218850_MYOD1_peaks.narrowPeak" "Myotube"
"GSM1218851" "MYOD1" "SARCOMA" "RD" "230" "PRJNA217446_GSM1218851_MYOD1_peaks.narrowPeak" "Muscle"
"GSM1227204" "STAT3" "BLOOD" "OCI-LY-10" "231" "PRJNA218584_GSM1227204_STAT3_peaks.narrowPeak" "B cell"
"GSM1227205" "STAT3" "BLOOD" "OCI-LY-19" "232" "PRJNA218584_GSM1227205_STAT3_peaks.narrowPeak" "B cell"
"GSM1227206" "STAT3" "BLOOD" "OCI-LY-3" "233" "PRJNA218584_GSM1227206_STAT3_peaks.narrowPeak" "B cell"
"GSM1227207" "STAT3" "BLOOD" "OCI-LY-7" "234" "PRJNA218584_GSM1227207_STAT3_peaks.narrowPeak" "B cell"
"GSM1227208" "STAT3" "BLOOD" "SU-DHL-10" "235" "PRJNA218584_GSM1227208_STAT3_peaks.narrowPeak" "B cell"
"GSM1227209" "STAT3" "BLOOD" "SU-DHL-2" "236" "PRJNA218584_GSM1227209_STAT3_peaks.narrowPeak" "B cell"
"GSM1227210" "STAT3" "BLOOD" "SU-DHL-4" "237" "PRJNA218584_GSM1227210_STAT3_peaks.narrowPeak" "B cell"
"GSM1227211" "STAT3" "BLOOD" "SU-DHL-6" "238" "PRJNA218584_GSM1227211_STAT3_peaks.narrowPeak" "B cell"
"GSM1227212" "STAT3" "BLOOD" "U-2932" "239" "PRJNA218584_GSM1227212_STAT3_peaks.narrowPeak" "B cell"
"GSM1234499" "MYC" "BLOOD" "P493-6" "106" "PRJNA219504_GSM1234499_MYC_peaks.narrowPeak" "B cell"
"GSM1234500" "MYC" "BLOOD" "P493-6" "106" "PRJNA219504_GSM1234500_MYC_peaks.narrowPeak" "B cell"
"GSM1234501" "MYC" "BLOOD" "P493-6" "106" "PRJNA219504_GSM1234501_MYC_peaks.narrowPeak" "B cell"
"GSM1386342" "MYC" "BLOOD" "P493-6" "106" "PRJNA219504_GSM1386342_MYC_peaks.narrowPeak" "B cell"
"GSM1386343" "MYC" "BLOOD" "P493-6" "106" "PRJNA219504_GSM1386343_MYC_peaks.narrowPeak" "B cell"
"GSM1235008" "ESR1" "BREAST" "MDA-MB-134-VI" "240" "PRJNA219645_GSM1235008_ESR1_peaks.narrowPeak" "Breast"
"GSM1235010" "ESR1" "BREAST" "MDA-MB-134-VI" "240" "PRJNA219645_GSM1235010_ESR1_peaks.narrowPeak" "Breast"
"GSM1233869" "CTCF" "BLOOD" "GM10847" "241" "PRJNA219683_GSM1233869_CTCF_peaks.narrowPeak" "B cell"
"GSM1233870" "CTCF" "BLOOD" "GM10847" "241" "PRJNA219683_GSM1233870_CTCF_peaks.narrowPeak" "B cell"
"GSM1233871" "CTCF" "BLOOD" "GM10847" "241" "PRJNA219683_GSM1233871_CTCF_peaks.narrowPeak" "B cell"
"GSM1233887" "CTCF" "BLOOD" "GM12878" "242" "PRJNA219683_GSM1233887_CTCF_peaks.narrowPeak" "B cell"
"GSM1233888" "CTCF" "BLOOD" "GM12878" "242" "PRJNA219683_GSM1233888_CTCF_peaks.narrowPeak" "B cell"
"GSM1233914" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233914_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233915" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233915_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233916" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233916_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233933" "CTCF" "BLOOD" "GM12891" "244" "PRJNA219683_GSM1233933_CTCF_peaks.narrowPeak" "B cell"
"GSM1233934" "CTCF" "BLOOD" "GM12891" "244" "PRJNA219683_GSM1233934_CTCF_peaks.narrowPeak" "B cell"
"GSM1233955" "CTCF" "BLOOD" "GM12892" "245" "PRJNA219683_GSM1233955_CTCF_peaks.narrowPeak" "B cell"
"GSM1233956" "CTCF" "BLOOD" "GM12892" "245" "PRJNA219683_GSM1233956_CTCF_peaks.narrowPeak" "B cell"
"GSM1233977" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233977_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233978" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233978_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233979" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1233979_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1233993" "CTCF" "BLOOD" "GM18505" "246" "PRJNA219683_GSM1233993_CTCF_peaks.narrowPeak" "B cell"
"GSM1233994" "CTCF" "BLOOD" "GM18505" "246" "PRJNA219683_GSM1233994_CTCF_peaks.narrowPeak" "B cell"
"GSM1234010" "CTCF" "BLOOD" "GM18526" "247" "PRJNA219683_GSM1234010_CTCF_peaks.narrowPeak" "B cell"
"GSM1234011" "CTCF" "BLOOD" "GM18526" "247" "PRJNA219683_GSM1234011_CTCF_peaks.narrowPeak" "B cell"
"GSM1234027" "CTCF" "BLOOD" "GM18951" "248" "PRJNA219683_GSM1234027_CTCF_peaks.narrowPeak" "B cell"
"GSM1234028" "CTCF" "BLOOD" "GM18951" "248" "PRJNA219683_GSM1234028_CTCF_peaks.narrowPeak" "B cell"
"GSM1234044" "CTCF" "BLOOD" "GM19099" "249" "PRJNA219683_GSM1234044_CTCF_peaks.narrowPeak" "B cell"
"GSM1234045" "CTCF" "BLOOD" "GM19099" "249" "PRJNA219683_GSM1234045_CTCF_peaks.narrowPeak" "B cell"
"GSM1234061" "CTCF" "BLOOD" "GM19193" "250" "PRJNA219683_GSM1234061_CTCF_peaks.narrowPeak" "B cell"
"GSM1234062" "CTCF" "BLOOD" "GM19193" "250" "PRJNA219683_GSM1234062_CTCF_peaks.narrowPeak" "B cell"
"GSM1234078" "CTCF" "BLOOD" "GM19238" "251" "PRJNA219683_GSM1234078_CTCF_peaks.narrowPeak" "B cell"
"GSM1234079" "CTCF" "BLOOD" "GM19238" "251" "PRJNA219683_GSM1234079_CTCF_peaks.narrowPeak" "B cell"
"GSM1234099" "CTCF" "BLOOD" "GM19239" "252" "PRJNA219683_GSM1234099_CTCF_peaks.narrowPeak" "B cell"
"GSM1234100" "CTCF" "BLOOD" "GM19239" "252" "PRJNA219683_GSM1234100_CTCF_peaks.narrowPeak" "B cell"
"GSM1234121" "CTCF" "BLOOD" "GM19240" "253" "PRJNA219683_GSM1234121_CTCF_peaks.narrowPeak" "B cell"
"GSM1234122" "CTCF" "BLOOD" "GM19240" "253" "PRJNA219683_GSM1234122_CTCF_peaks.narrowPeak" "B cell"
"GSM1234144" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234144_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234145" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234145_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234146" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234146_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234162" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234162_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234163" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234163_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234164" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234164_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234180" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234180_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234181" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234181_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234182" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234182_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234198" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234198_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234199" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234199_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234200" "CTCF" "BLOOD" "Lymphoblastoid cell line" "243" "PRJNA219683_GSM1234200_CTCF_peaks.narrowPeak" "Lymphoblastoid"
"GSM1234216" "CTCF" "BLOOD" "MS1" "254" "PRJNA219683_GSM1234216_CTCF_peaks.narrowPeak" "Lung"
"GSM1234217" "CTCF" "BLOOD" "MS1" "254" "PRJNA219683_GSM1234217_CTCF_peaks.narrowPeak" "Lung"
"GSM1234218" "CTCF" "BLOOD" "MS1" "254" "PRJNA219683_GSM1234218_CTCF_peaks.narrowPeak" "Lung"
"GSM1234219" "CTCF" "BLOOD" "MS1" "254" "PRJNA219683_GSM1234219_CTCF_peaks.narrowPeak" "Lung"
"GSM1239390" "CTCF" "GI" "LoVo" "255" "PRJNA221287_GSM1239390_CTCF_peaks.narrowPeak" "Colon"
"GSM1239395" "FOXA2" "GI" "LoVo" "256" "PRJNA221287_GSM1239395_FOXA2_peaks.narrowPeak" "Colon"
"GSM1239407" "HNF1A" "SARCOMA" "LoVo" "257" "PRJNA221287_GSM1239407_HNF1A_peaks.narrowPeak" "Colon"
"GSM1239408" "HNF1B" "GI" "LoVo" "258" "PRJNA221287_GSM1239408_HNF1B_peaks.narrowPeak" "Colon"
"GSM1239427" "CTCF" "GI" "LoVo" "255" "PRJNA221287_GSM1239427_CTCF_peaks.narrowPeak" "Colon"
"GSM1239432" "MAFG" "GI" "LoVo" "259" "PRJNA221287_GSM1239432_MAFG_peaks.narrowPeak" "Colon"
"GSM1239450" "CREB1" "GI" "LoVo" "260" "PRJNA221287_GSM1239450_CREB1_peaks.narrowPeak" "Colon"
"GSM1239452" "E2F3" "GI" "LoVo" "261" "PRJNA221287_GSM1239452_E2F3_peaks.narrowPeak" "Colon"
"GSM1239454" "ETV5" "GI" "LoVo" "262" "PRJNA221287_GSM1239454_ETV5_peaks.narrowPeak" "Colon"
"GSM1239455" "GLI2" "GI" "LoVo" "263" "PRJNA221287_GSM1239455_GLI2_peaks.narrowPeak" "Colon"
"GSM1239465" "IRF1" "GI" "LoVo" "264" "PRJNA221287_GSM1239465_IRF1_peaks.narrowPeak" "Colon"
"GSM1239467" "JUN" "GI" "LoVo" "265" "PRJNA221287_GSM1239467_JUN_peaks.narrowPeak" "Colon"
"GSM1239478" "NFYA" "GI" "LoVo" "266" "PRJNA221287_GSM1239478_NFYA_peaks.narrowPeak" "Colon"
"GSM1239487" "SOX9" "GI" "LoVo" "267" "PRJNA221287_GSM1239487_SOX9_peaks.narrowPeak" "Colon"
"GSM1239492" "BARX1" "GI" "LoVo" "268" "PRJNA221287_GSM1239492_BARX1_peaks.narrowPeak" "Colon"
