"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM638311" "SPI1" "BLOOD" "Hematopoietic Stem Cells" "38" "PRJNA135475_GSM638311_SPI1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM638314" "MEIS1" "BLOOD" "Hematopoietic Stem Cells" "39" "PRJNA135475_GSM638314_MEIS1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM638315" "MEIS1" "BLOOD" "Hematopoietic Stem Cells" "39" "PRJNA135475_GSM638315_MEIS1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM638316" "MEIS1" "BLOOD" "Hematopoietic Stem Cells" "39" "PRJNA135475_GSM638316_MEIS1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM634613" "FOXA2" "LIVER" "Liver" "40" "PRJNA135749_GSM634613_FOXA2_peaks.narrowPeak" "Liver"
"GSM634614" "FOXA2" "LIVER" "Liver" "40" "PRJNA135749_GSM634614_FOXA2_peaks.narrowPeak" "Liver"
"GSM634615" "FOXA2" "LIVER" "Liver" "40" "PRJNA135749_GSM634615_FOXA2_peaks.narrowPeak" "Liver"
"GSM634616" "FOXA2" "LIVER" "Liver" "40" "PRJNA135749_GSM634616_FOXA2_peaks.narrowPeak" "Liver"
"GSM634629" "PPARG" "ADIPOCYTE" "SGBS" "41" "PRJNA135749_GSM634629_PPARG_peaks.narrowPeak" "Adipocytes"
"GSM634630" "PPARG" "ADIPOCYTE" "SGBS" "41" "PRJNA135749_GSM634630_PPARG_peaks.narrowPeak" "Adipocytes"
"GSM651541" "CTCF" "BLOOD" "CD34+" "42" "PRJNA136673_GSM651541_CTCF_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM651542" "CTCF" "BLOOD" "CD36+" "43" "PRJNA136673_GSM651542_CTCF_peaks.narrowPeak" "Bone marrow"
"GSM651543" "CTCF" "BLOOD" "CD36+" "43" "PRJNA136673_GSM651543_CTCF_peaks.narrowPeak" "Bone marrow"
"GSM651546" "GATA1" "BLOOD" "CD36+" "44" "PRJNA136673_GSM651546_GATA1_peaks.narrowPeak" "Bone marrow"
"GSM651547" "GATA1" "BLOOD" "CD36+" "44" "PRJNA136673_GSM651547_GATA1_peaks.narrowPeak" "Bone marrow"
"GSM648587" "NFYA" "BLOOD" "K-562" "45" "PRJNA136821_GSM648587_NFYA_peaks.narrowPeak" "Myeloid"
"GSM648588" "NFYB" "BLOOD" "K-562" "46" "PRJNA136821_GSM648588_NFYB_peaks.narrowPeak" "Myeloid"
"GSM700360" "ELK4" "KIDNEY" "293" "47" "PRJNA137849_GSM700360_ELK4_peaks.narrowPeak" "Kidney"
"GSM700361" "ELK4" "KIDNEY" "293" "47" "PRJNA137849_GSM700361_ELK4_peaks.narrowPeak" "Kidney"
"GSM1000979" "BCL6" "BLOOD" "B cell" "48" "PRJNA138597_GSM1000979_BCL6_peaks.narrowPeak" "B cell"
"GSM763402" "BCL6" "BLOOD" "OCI-LY1" "49" "PRJNA138597_GSM763402_BCL6_peaks.narrowPeak" "B cell"
"GSM763404" "BCL6" "BLOOD" "OCI-LY1" "49" "PRJNA138597_GSM763404_BCL6_peaks.narrowPeak" "B cell"
"GSM699634" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA139277_GSM699634_FOXA1_peaks.narrowPeak" "Prostate"
"GSM699635" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA139277_GSM699635_FOXA1_peaks.narrowPeak" "Prostate"
"GSM701863" "E2F6" "BLOOD" "K-562" "51" "PRJNA139505_GSM701863_E2F6_peaks.narrowPeak" "Myeloid"
"GSM714610" "TFAP4" "PROSTATE" "LNCAP" "52" "PRJNA140689_GSM714610_TFAP4_peaks.narrowPeak" "Prostate"
"GSM738817" "ETV4" "PROSTATE" "PC-3" "53" "PRJNA140921_GSM738817_ETV4_peaks.narrowPeak" "Prostate"
"GSM738818" "JUND" "PROSTATE" "PC-3" "54" "PRJNA140921_GSM738818_JUND_peaks.narrowPeak" "Prostate"
"GSM738821" "ETS1" "PROSTATE" "RWPE-1" "55" "PRJNA140921_GSM738821_ETS1_peaks.narrowPeak" "Prostate"
